City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Pangnirtung,CA,2022-04-26 18:51:24,66.1451,-65.7125,-4.0,77,20,2.3
149,Mahon,ES,2022-04-26 18:53:51,39.8885,4.2658,61.36,72,0,5.75
150,Touros,BR,2022-04-26 18:53:52,-5.1989,-35.4608,83.21,71,13,14.94
151,Guerrero Negro,MX,2022-04-26 18:52:14,27.9769,-114.0611,76.93,36,7,12.39
152,Puerto Ayora,EC,2022-04-26 18:44:08,-0.7393,-90.3518,78.76,75,75,7.99
153,Adamovka,RU,2022-04-26 18:53:52,51.5223,59.9396,55.08,42,13,6.08
154,Arraial Do Cabo,BR,2022-04-26 18:44:07,-22.9661,-42.0278,84.16,78,0,17.27
155,Alabaster,US,2022-04-26 18:53:53,33.2443,-86.8164,67.42,71,20,10.36
156,Sabang,ID,2022-04-26 18:53:53,5.8933,95.3214,84.33,72,100,6.24
157,Yumen,CN,2022-04-26 18:42:33,40.2833,97.2,46.96,19,100,5.82
158,Vyartsilya,RU,2022-04-26 18:53:54,62.1764,30.693,30.92,92,86,5.32
159,Bang Sai,TH,2022-04-26 18:53:55,14.2124,100.4966,90.99,68,44,12.26
160,General Roca,AR,2022-04-26 18:53:55,-39.0333,-67.5833,61.63,34,100,15.41
161,Vanimo,PG,2022-04-26 18:53:56,-2.6741,141.3028,78.15,89,100,6.11
162,Oktyabrskoye,RU,2022-04-26 18:53:56,43.0645,44.7417,59.14,77,81,6.71
163,Pauini,BR,2022-04-26 18:53:57,-7.7136,-66.9764,83.08,75,100,0.83
164,Zhigansk,RU,2022-04-26 18:53:57,66.7697,123.3711,4.01,95,31,8.95
165,Borogontsy,RU,2022-04-26 18:46:36,62.6683,131.1683,8.96,99,78,2.89
166,Yelizovo,RU,2022-04-26 18:53:58,53.1873,158.3805,32.14,69,0,2.24
167,Garowe,SO,2022-04-26 18:53:59,8.4054,48.4845,80.56,57,25,15.08
168,Naryan-Mar,RU,2022-04-26 18:53:59,67.6713,53.087,32.05,99,100,3.53
169,Lompoc,US,2022-04-26 18:54:00,34.6391,-120.4579,75.69,63,0,24.0
170,Bell Ville,AR,2022-04-26 18:54:00,-32.6259,-62.6887,83.8,46,37,15.55
171,Georgetown,MY,2022-04-26 18:39:33,5.4112,100.3354,82.33,93,40,9.22
172,Nauchnyy Gorodok,RU,2022-04-26 18:54:01,53.4203,83.521,50.86,23,0,0.0
173,Kodiak,US,2022-04-26 18:46:36,57.79,-152.4072,42.31,56,100,11.5
174,Umm Lajj,SA,2022-04-26 18:54:01,25.0213,37.2685,79.3,57,100,7.43
175,Filadelfia,US,2022-04-26 18:52:02,39.9523,-75.1638,72.21,63,75,13.8
176,Palmas,BR,2022-04-26 18:52:23,-10.2128,-48.3603,91.27,43,40,10.36
177,Beringovskiy,RU,2022-04-26 18:54:02,63.05,179.3167,32.11,98,100,10.25
